tick | mnemonic
0126 | dr[22:0] + pc -> ar
0127 | mem(ar)[31:0] -> dr
0128 | dr[31:0] -> acc
0129 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0130 | dr[22:0] + pc -> ar
0131 | mem(ar)[31:0] -> dr
0132 | acc * mem(ar) -> acc
0133 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0134 | dr[22:0] + pc -> ar
0135 | mem(ar)[31:0] -> dr
0136 | acc + mem(ar) -> acc
0137 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0138 | dr[22:0] + pc -> ar
0139 | acc[31:0] -> mem(ar)
0140 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0141 | dr[22:0] + pc -> ar
0142 | mem(ar)[31:0] -> dr
0143 | dr[31:0] -> acc
0144 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0145 | acc - 1 -> acc
0146 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0147 | dr[22:0] + pc -> ar
0148 | acc[31:0] -> mem(ar)
0149 | shadow_acc[31:0] -> mem(shadow_ar)
0150 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0151 | if Z set: jmp @fetch
0152 | pc + extended(dr[22:0]) -> pc
0153 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0154 | dr[22:0] + pc -> ar
0155 | mem(ar)[31:0] -> dr
0156 | dr[31:0] -> acc
0157 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0158 | dr[22:0] + pc -> ar
0159 | mem(ar)[31:0] -> dr
0160 | acc + mem(ar) -> acc
0161 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0162 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0163 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0164 | dr[22:0] + pc -> ar
0165 | mem(ar)[31:0] -> dr
0166 | dr[31:0] -> acc
0167 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0168 | dr[22:0] + pc -> ar
0169 | mem(ar)[31:0] -> dr
0170 | acc * mem(ar) -> acc
0171 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0172 | dr[22:0] + pc -> ar
0173 | mem(ar)[31:0] -> dr
0174 | acc + mem(ar) -> acc
0175 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0176 | dr[22:0] + pc -> ar
0177 | acc[31:0] -> mem(ar)
0178 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0179 | dr[22:0] + pc -> ar
0180 | mem(ar)[31:0] -> dr
0181 | dr[31:0] -> acc
0182 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0183 | acc - 1 -> acc
0184 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0185 | dr[22:0] + pc -> ar
0186 | acc[31:0] -> mem(ar)
0187 | shadow_acc[31:0] -> mem(shadow_ar)
0188 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0189 | if Z set: jmp @fetch
0190 | pc + extended(dr[22:0]) -> pc
0191 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0192 | dr[22:0] + pc -> ar
0193 | mem(ar)[31:0] -> dr
0194 | dr[31:0] -> acc
0195 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0196 | dr[22:0] + pc -> ar
0197 | mem(ar)[31:0] -> dr
0198 | acc + mem(ar) -> acc
0199 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0200 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0201 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0202 | dr[22:0] + pc -> ar
0203 | mem(ar)[31:0] -> dr
0204 | dr[31:0] -> acc
0205 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0206 | dr[22:0] + pc -> ar
0207 | mem(ar)[31:0] -> dr
0208 | acc * mem(ar) -> acc
0209 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0210 | dr[22:0] + pc -> ar
0211 | mem(ar)[31:0] -> dr
0212 | acc + mem(ar) -> acc
0213 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0214 | dr[22:0] + pc -> ar
0215 | acc[31:0] -> mem(ar)
0216 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0217 | dr[22:0] + pc -> ar
0218 | mem(ar)[31:0] -> dr
0219 | dr[31:0] -> acc
0220 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0221 | acc - 1 -> acc
0222 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0223 | dr[22:0] + pc -> ar
0224 | acc[31:0] -> mem(ar)
0225 | shadow_acc[31:0] -> mem(shadow_ar)
0226 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0227 | if Z set: jmp @fetch
0228 | pc + extended(dr[22:0]) -> pc
0229 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0230 | dr[22:0] + pc -> ar
0231 | mem(ar)[31:0] -> dr
0232 | dr[31:0] -> acc
0233 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0234 | dr[22:0] + pc -> ar
0235 | mem(ar)[31:0] -> dr
0236 | acc + mem(ar) -> acc
0237 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0238 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0239 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0240 | dr[22:0] + pc -> ar
0241 | mem(ar)[31:0] -> dr
0242 | dr[31:0] -> acc
0243 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0244 | dr[22:0] + pc -> ar
0245 | mem(ar)[31:0] -> dr
0246 | acc * mem(ar) -> acc
0247 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0248 | dr[22:0] + pc -> ar
0249 | mem(ar)[31:0] -> dr
0250 | acc + mem(ar) -> acc
0251 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0252 | dr[22:0] + pc -> ar
0253 | acc[31:0] -> mem(ar)
0254 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0255 | dr[22:0] + pc -> ar
0256 | mem(ar)[31:0] -> dr
0257 | dr[31:0] -> acc
0258 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0259 | acc - 1 -> acc
0260 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0261 | dr[22:0] + pc -> ar
0262 | acc[31:0] -> mem(ar)
0263 | shadow_acc[31:0] -> mem(shadow_ar)
0264 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0265 | if Z set: jmp @fetch
0266 | pc + extended(dr[22:0]) -> pc
0267 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0268 | dr[22:0] + pc -> ar
0269 | mem(ar)[31:0] -> dr
0270 | dr[31:0] -> acc
0271 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0272 | dr[22:0] + pc -> ar
0273 | mem(ar)[31:0] -> dr
0274 | acc + mem(ar) -> acc
0275 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0276 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0277 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0278 | dr[22:0] + pc -> ar
0279 | mem(ar)[31:0] -> dr
0280 | dr[31:0] -> acc
0281 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0282 | dr[22:0] + pc -> ar
0283 | mem(ar)[31:0] -> dr
0284 | acc * mem(ar) -> acc
0285 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0286 | dr[22:0] + pc -> ar
0287 | mem(ar)[31:0] -> dr
0288 | acc + mem(ar) -> acc
0289 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0290 | dr[22:0] + pc -> ar
0291 | acc[31:0] -> mem(ar)
0292 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0293 | dr[22:0] + pc -> ar
0294 | mem(ar)[31:0] -> dr
0295 | dr[31:0] -> acc
0296 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0297 | acc - 1 -> acc
0298 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0299 | dr[22:0] + pc -> ar
0300 | acc[31:0] -> mem(ar)
0301 | shadow_acc[31:0] -> mem(shadow_ar)
0302 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0303 | if Z set: jmp @fetch
0304 | pc + extended(dr[22:0]) -> pc
0305 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0306 | dr[22:0] + pc -> ar
0307 | mem(ar)[31:0] -> dr
0308 | dr[31:0] -> acc
0309 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0310 | dr[22:0] + pc -> ar
0311 | mem(ar)[31:0] -> dr
0312 | acc + mem(ar) -> acc
0313 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0314 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0315 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0316 | dr[22:0] + pc -> ar
0317 | mem(ar)[31:0] -> dr
0318 | dr[31:0] -> acc
0319 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0320 | dr[22:0] + pc -> ar
0321 | mem(ar)[31:0] -> dr
0322 | acc * mem(ar) -> acc
0323 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0324 | dr[22:0] + pc -> ar
0325 | mem(ar)[31:0] -> dr
0326 | acc + mem(ar) -> acc
0327 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0328 | dr[22:0] + pc -> ar
0329 | acc[31:0] -> mem(ar)
0330 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0331 | dr[22:0] + pc -> ar
0332 | mem(ar)[31:0] -> dr
0333 | dr[31:0] -> acc
0334 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0335 | acc - 1 -> acc
0336 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0337 | dr[22:0] + pc -> ar
0338 | acc[31:0] -> mem(ar)
0339 | shadow_acc[31:0] -> mem(shadow_ar)
0340 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0341 | if Z set: jmp @fetch
0342 | pc + extended(dr[22:0]) -> pc
0343 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0344 | dr[22:0] + pc -> ar
0345 | mem(ar)[31:0] -> dr
0346 | dr[31:0] -> acc
0347 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0348 | dr[22:0] + pc -> ar
0349 | mem(ar)[31:0] -> dr
0350 | acc + mem(ar) -> acc
0351 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0352 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0353 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0354 | dr[22:0] + pc -> ar
0355 | mem(ar)[31:0] -> dr
0356 | dr[31:0] -> acc
0357 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0358 | dr[22:0] + pc -> ar
0359 | mem(ar)[31:0] -> dr
0360 | acc * mem(ar) -> acc
0361 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0362 | dr[22:0] + pc -> ar
0363 | mem(ar)[31:0] -> dr
0364 | acc + mem(ar) -> acc
0365 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0366 | dr[22:0] + pc -> ar
0367 | acc[31:0] -> mem(ar)
0368 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0369 | dr[22:0] + pc -> ar
0370 | mem(ar)[31:0] -> dr
0371 | dr[31:0] -> acc
0372 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0373 | acc - 1 -> acc
0374 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0375 | dr[22:0] + pc -> ar
0376 | acc[31:0] -> mem(ar)
0377 | shadow_acc[31:0] -> mem(shadow_ar)
0378 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0379 | if Z set: jmp @fetch
0380 | pc + extended(dr[22:0]) -> pc
0381 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0382 | dr[22:0] + pc -> ar
0383 | mem(ar)[31:0] -> dr
0384 | dr[31:0] -> acc
0385 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0386 | dr[22:0] + pc -> ar
0387 | mem(ar)[31:0] -> dr
0388 | acc + mem(ar) -> acc
0389 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0390 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0391 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0392 | dr[22:0] + pc -> ar
0393 | mem(ar)[31:0] -> dr
0394 | dr[31:0] -> acc
0395 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0396 | dr[22:0] + pc -> ar
0397 | mem(ar)[31:0] -> dr
0398 | acc * mem(ar) -> acc
0399 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0400 | dr[22:0] + pc -> ar
0401 | mem(ar)[31:0] -> dr
0402 | acc + mem(ar) -> acc
0403 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0404 | dr[22:0] + pc -> ar
0405 | acc[31:0] -> mem(ar)
0406 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0407 | dr[22:0] + pc -> ar
0408 | mem(ar)[31:0] -> dr
0409 | dr[31:0] -> acc
0410 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0411 | acc - 1 -> acc
0412 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0413 | dr[22:0] + pc -> ar
0414 | acc[31:0] -> mem(ar)
0415 | shadow_acc[31:0] -> mem(shadow_ar)
0416 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0417 | if Z set: jmp @fetch
0418 | pc + extended(dr[22:0]) -> pc
0419 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0420 | dr[22:0] + pc -> ar
0421 | mem(ar)[31:0] -> dr
0422 | dr[31:0] -> acc
0423 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0424 | dr[22:0] + pc -> ar
0425 | mem(ar)[31:0] -> dr
0426 | acc + mem(ar) -> acc
0427 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0428 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0429 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0430 | dr[22:0] + pc -> ar
0431 | mem(ar)[31:0] -> dr
0432 | dr[31:0] -> acc
0433 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0434 | dr[22:0] + pc -> ar
0435 | mem(ar)[31:0] -> dr
0436 | acc * mem(ar) -> acc
0437 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0438 | dr[22:0] + pc -> ar
0439 | mem(ar)[31:0] -> dr
0440 | acc + mem(ar) -> acc
0441 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0442 | dr[22:0] + pc -> ar
0443 | acc[31:0] -> mem(ar)
0444 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0445 | dr[22:0] + pc -> ar
0446 | mem(ar)[31:0] -> dr
0447 | dr[31:0] -> acc
0448 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0449 | acc - 1 -> acc
0450 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0451 | dr[22:0] + pc -> ar
0452 | acc[31:0] -> mem(ar)
0453 | shadow_acc[31:0] -> mem(shadow_ar)
0454 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0455 | if Z set: jmp @fetch
0456 | pc + extended(dr[22:0]) -> pc
0457 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0458 | dr[22:0] + pc -> ar
0459 | mem(ar)[31:0] -> dr
0460 | dr[31:0] -> acc
0461 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0462 | dr[22:0] + pc -> ar
0463 | mem(ar)[31:0] -> dr
0464 | acc + mem(ar) -> acc
0465 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0466 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0467 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0468 | dr[22:0] + pc -> ar
0469 | mem(ar)[31:0] -> dr
0470 | dr[31:0] -> acc
0471 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0472 | dr[22:0] + pc -> ar
0473 | mem(ar)[31:0] -> dr
0474 | acc * mem(ar) -> acc
0475 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0476 | dr[22:0] + pc -> ar
0477 | mem(ar)[31:0] -> dr
0478 | acc + mem(ar) -> acc
0479 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0480 | dr[22:0] + pc -> ar
0481 | acc[31:0] -> mem(ar)
0482 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0483 | dr[22:0] + pc -> ar
0484 | mem(ar)[31:0] -> dr
0485 | dr[31:0] -> acc
0486 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0487 | acc - 1 -> acc
0488 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0489 | dr[22:0] + pc -> ar
0490 | acc[31:0] -> mem(ar)
0491 | shadow_acc[31:0] -> mem(shadow_ar)
0492 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0493 | if Z set: jmp @fetch
0494 | pc + extended(dr[22:0]) -> pc
0495 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0496 | dr[22:0] + pc -> ar
0497 | mem(ar)[31:0] -> dr
0498 | dr[31:0] -> acc
0499 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0500 | dr[22:0] + pc -> ar
0501 | mem(ar)[31:0] -> dr
0502 | acc + mem(ar) -> acc
0503 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0504 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0505 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0506 | dr[22:0] + pc -> ar
0507 | mem(ar)[31:0] -> dr
0508 | dr[31:0] -> acc
0509 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0510 | dr[22:0] + pc -> ar
0511 | mem(ar)[31:0] -> dr
0512 | acc * mem(ar) -> acc
0513 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0514 | dr[22:0] + pc -> ar
0515 | mem(ar)[31:0] -> dr
0516 | acc + mem(ar) -> acc
0517 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0518 | dr[22:0] + pc -> ar
0519 | acc[31:0] -> mem(ar)
0520 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0521 | dr[22:0] + pc -> ar
0522 | mem(ar)[31:0] -> dr
0523 | dr[31:0] -> acc
0524 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0525 | acc - 1 -> acc
0526 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0527 | dr[22:0] + pc -> ar
0528 | acc[31:0] -> mem(ar)
0529 | shadow_acc[31:0] -> mem(shadow_ar)
0530 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0531 | if Z set: jmp @fetch
0532 | pc + extended(dr[22:0]) -> pc
0533 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0534 | dr[22:0] + pc -> ar
0535 | mem(ar)[31:0] -> dr
0536 | dr[31:0] -> acc
0537 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0538 | dr[22:0] + pc -> ar
0539 | mem(ar)[31:0] -> dr
0540 | acc + mem(ar) -> acc
0541 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0542 | acc <-> shadow_acc, dr[22:0] + pc -> ar -> shadow_ar
0543 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0544 | dr[22:0] + pc -> ar
0545 | mem(ar)[31:0] -> dr
0546 | dr[31:0] -> acc
0547 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0548 | dr[22:0] + pc -> ar
0549 | mem(ar)[31:0] -> dr
0550 | acc * mem(ar) -> acc
0551 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0552 | dr[22:0] + pc -> ar
0553 | mem(ar)[31:0] -> dr
0554 | acc + mem(ar) -> acc
0555 | mem(pc)[31:0] -> dr, pc+4 -> pc, jmp @instruction
0556 | dr[22:0] + pc -> ar
